date,close,volume,open,high,low
2018/09/26,1974.85,4262097,1968.5,1995.25,1961.52
2018/09/25,1974.55,4351662,1942.9,1975.91,1938.85
2018/09/24,1934.36,4146563,1903.79,1936.88,1865
2018/09/21,1915.01,6774727,1954.22,1957.31,1910.5011
2018/09/20,1944.3,3142025,1938.58,1955,1932.25
2018/09/19,1926.42,4037641,1940.5,1940.83,1904.9
2018/09/18,1941.05,4231892,1918.65,1958.2,1915.4391
2018/09/17,1908.03,6981550,1954.73,1956.82,1887.41
2018/09/14,1970.19,3587896,1992.93,1993.648,1959.22
2018/09/13,1989.87,3605398,2000,2008.76,1982.0277
2018/09/12,1990,4407334,1994,2000,1962.44
2018/09/11,1987.15,5016780,1928.27,1988.88,1917
2018/09/10,1939.01,4481091,1971,1973.04,1931.5158
2018/09/07,1952.07,4856982,1938.71,1975.2,1937.35
2018/09/06,1958.31,7473086,2006.505,2007.5,1935.209
2018/09/05,1994.82,8197117,2038.11,2040.38,1989.89
2018/09/04,2039.51,5703128,2026.5,2050.5,2013
2018/08/31,2012.71,4148432,2007,2022.38,2004.74
2018/08/30,2002.38,7254573,1997.42,2025.57,1986.9
2018/08/29,1998.1,6432354,1953.45,1998.6899,1948.94
2018/08/28,1932.82,3070482,1937.73,1941.7771,1928.82
2018/08/27,1927.68,3546496,1915,1927.7,1909.281
2018/08/24,1905.39,2781770,1910.51,1916.01,1902.54
2018/08/23,1902.9,3548197,1907.17,1919.5,1900.76
2018/08/22,1904.9,3058369,1876.64,1905.8,1876.64
2018/08/21,1883.42,3068215,1880,1897.75,1874.405
2018/08/20,1876.71,2854320,1890.57,1891.7465,1866.061
2018/08/17,1882.22,4088548,1885.8,1888,1855.55
2018/08/16,1886.52,3884253,1903.94,1905,1883.5525
2018/08/15,1882.62,7658108,1909.55,1916.21,1869.79
2018/08/14,1919.65,3918758,1919.39,1921.01,1900
2018/08/13,1896.2,5508481,1898.5,1925,1893.67
2018/08/10,1886.3,3623734,1888.51,1899.5,1878.2125
2018/08/09,1898.52,4844363,1882,1914.57,1877.48
2018/08/08,1886.52,3922462,1861,1891.51,1854.5
2018/08/07,1862.48,3332789,1854.53,1869.72,1846.2673
2018/08/06,1847.75,3383971,1825.81,1847.77,1818.92
2018/08/03,1823.29,3454718,1837.744,1841,1821.501
2018/08/02,1834.33,4337911,1788.77,1836.56,1786
2018/08/01,1797.17,4139144,1784,1798.4365,1776.02
2018/07/31,1777.44,5716449,1786.49,1801.83,1739.32
2018/07/30,1779.22,6542712,1827.33,1829.5,1766.02
2018/07/27,1817.27,9670042,1876.05,1880.05,1806.53
2018/07/26,1808,9637399,1839,1844.68,1804.5
2018/07/25,1863.61,3657664,1829.3,1863.84,1822.64
2018/07/24,1829.24,4228340,1829.01,1840,1809.3829
2018/07/23,1802,3858903,1812.21,1819,1769.99
2018/07/20,1813.7,3879448,1825.01,1834.84,1810.06
2018/07/19,1812.97,4590063,1829.46,1841,1811.27
2018/07/18,1842.92,4851208,1848,1858.88,1831.27
2018/07/17,1843.93,5660705,1811.56,1851.69,1797.3838
2018/07/16,1822.49,5425916,1821.95,1841.95,1814.45
2018/07/13,1813.03,4381802,1803.93,1815.3,1795.225
2018/07/12,1796.62,4511274,1764.51,1798,1762.18
2018/07/11,1755,3167209,1737.99,1756.96,1734
2018/07/10,1743.07,2977310,1738.53,1750,1731
2018/07/09,1739.02,2926194,1724.05,1739.56,1716.23
2018/07/06,1710.63,2586450,1696,1715.268,1691.67
2018/07/05,1699.73,2974047,1705.38,1710.69,1682.1501
2018/07/03,1693.96,2177276,1723.96,1725,1692.48
2018/07/02,1713.78,3180640,1682.7,1713.89,1678.06
2018/06/29,1699.8,4486680,1717,1723.41,1694.3156
2018/06/28,1701.45,4521788,1672.54,1705.5,1661.1738
2018/06/27,1660.51,4778872,1708.11,1711.95,1660
2018/06/26,1691.09,4295320,1672.37,1701.565,1663.34
2018/06/25,1663.15,7494818,1702.51,1705,1646.3089
2018/06/22,1715.67,4050059,1742.62,1743,1711.9
2018/06/21,1730.22,4913177,1760,1763.1,1717.56
2018/06/20,1750.08,4320836,1742.5,1762.93,1741.36
2018/06/19,1734.78,4278496,1709.04,1736.11,1700.39
2018/06/18,1723.79,3094110,1706.26,1726.7404,1702.56
2018/06/15,1715.97,4729101,1714,1720.87,1708.52
2018/06/14,1723.86,3157127,1713.48,1724.7999,1708.87
2018/06/13,1704.86,3315258,1702.81,1713.75,1700.12
2018/06/12,1698.75,2203056,1693,1699.51,1691.5235
2018/06/11,1689.12,2317881,1681.51,1694.2436,1680.5923
2018/06/08,1683.99,2949020,1681.12,1689.44,1673.01
2018/06/07,1689.3,3756128,1698.558,1699.9,1676.105
2018/06/06,1695.75,5466032,1704.51,1714.5,1686.47
2018/06/05,1696.35,4733275,1672.99,1699,1670.06
2018/06/04,1665.27,3178387,1648.9,1665.68,1645.49
2018/06/01,1641.54,3302466,1637.03,1646.7299,1635.09
2018/05/31,1629.62,3157622,1623,1635,1621.35
2018/05/30,1624.89,2892704,1618.1,1626,1612.93
2018/05/29,1612.87,3837381,1600.709,1621.79,1600.15
2018/05/25,1610.15,2624784,1603,1614.12,1600.4474
2018/05/24,1603.07,3383788,1598.03,1608.24,1588.38
2018/05/23,1601.86,3348540,1571.05,1601.86,1566.34
2018/05/22,1581.4,2053733,1589.89,1589.89,1575.25
2018/05/21,1585.46,2840655,1585,1592.05,1575
2018/05/18,1574.37,2612564,1581.33,1583.5903,1572.1
2018/05/17,1581.76,2131238,1580.56,1594.04,1573
2018/05/16,1587.28,2535458,1577.5,1594.43,1576.67
2018/05/15,1576.12,5066420,1587.8047,1587.8047,1565.2201
2018/05/14,1601.54,2460302,1604,1611.18,1600.05
2018/05/11,1602.91,2258583,1610.99,1611.1,1597.891
2018/05/10,1609.08,2785394,1608.475,1615.6,1603.44
2018/05/09,1608,3628661,1600,1608,1592
2018/05/08,1592.39,3033526,1595,1596.88,1582.51
2018/05/07,1600.14,3793376,1589.337,1606.949,1587.83
2018/05/04,1580.95,3414088,1562.45,1584.9,1562.19
2018/05/03,1572.075,4235885,1560.01,1574.8,1546.02
2018/05/02,1569.68,4252230,1580.98,1588.4992,1566.36
2018/05/01,1582.26,4551661,1563.22,1585,1552.18
2018/04/30,1566.13,5421282,1582.5,1596,1560.941
2018/04/27,1572.62,13025430,1634.01,1638.1,1567.386
2018/04/26,1517.96,8309864,1485.01,1529.42,1478.5
2018/04/25,1460.17,6365989,1458,1469.99,1415.02
2018/04/24,1460.09,7470059,1535.8,1539.5,1448.4475
2018/04/23,1517.86,4447801,1546.6947,1548,1503.4103
2018/04/20,1527.49,5520642,1561.1999,1561.1999,1516.093
2018/04/19,1556.91,6483967,1543.22,1568.52,1539.06
2018/04/18,1527.84,5091677,1514.65,1533.8,1504.11
2018/04/17,1503.83,5008532,1462.295,1507.19,1457.0219
2018/04/16,1441.5,2773836,1445,1447,1427.48
2018/04/13,1430.79,3637586,1449.136,1459.7808,1424.52
2018/04/12,1448.5,3116939,1439.5,1452.12,1435.06
2018/04/11,1427.05,3544449,1439.44,1448.7758,1424.89
2018/04/10,1436.22,4258358,1431.99,1438.38,1415.7
2018/04/09,1406.08,4193564,1425.03,1438.48,1402.571
2018/04/06,1405.23,5838758,1429.97,1452.502,1400.26
2018/04/05,1451.75,6305513,1441.99,1459.5575,1427.07
2018/04/04,1410.57,6942485,1358.24,1415.39,1352.88
2018/04/03,1392.05,10212940,1391.38,1414,1355.33
2018/04/02,1371.99,10432560,1417.62,1421.358,1355
2018/03/29,1447.34,12570020,1406,1455.47,1365.2
2018/03/28,1431.42,13680370,1447,1455.9,1386.17
2018/03/27,1497.05,6887274,1572.4,1575.965,1482.32
2018/03/26,1555.86,5592200,1530,1556.99,1499.25
