date,close,open,high,low,daily_pct_change,SMA20,SMA50,SMA100,SMA200,trend,signal,position,balance_roll
2009-10-30,118.81,121.97,122.9,118.21,-3.07,102.32284500000003,92.69793799999994,88.05271899999998,79.58807949999996,bullish,0.0,0.0,49226.8
2009-11-02,118.84,118.66,119.5,116.71,0.03,103.83134500000003,93.37473799999994,88.38421899999997,79.92432949999997,bullish,0.0,0.0,49226.8
2009-11-03,118.37,117.67,118.88,116.63,-0.4,105.20434500000003,94.05213799999994,88.72711899999999,80.27397949999997,bullish,0.0,0.0,49226.8
2009-11-04,117.1,119.0,119.2499,116.76,-1.07,106.36084500000004,94.71033799999995,89.06631899999998,80.60677949999996,bullish,0.0,0.0,49226.8
2009-11-05,120.61,117.46,120.95,116.25,3.0,107.63034500000006,95.44253799999996,89.450919,80.96012949999997,bullish,0.0,0.0,49226.8
2009-11-06,126.2,123.0,126.98,122.67,4.63,109.15484500000005,96.28033799999994,89.886419,81.33797949999997,bullish,0.0,0.0,49226.8
2009-11-09,126.67,127.11,128.32,125.59100000000001,0.37,110.80834500000006,97.15853799999994,90.33716900000002,81.72317949999997,bullish,0.0,0.0,49226.8
2009-11-10,130.15,126.8,130.61,126.0,2.75,112.57434500000006,98.13773799999994,90.80906900000002,82.13172949999998,bullish,0.0,0.0,49226.8
2009-11-11,129.91,131.08,131.31,128.33,-0.18,114.19684500000005,99.15273799999994,91.31666900000002,82.52947949999998,bullish,0.0,0.0,49226.8
2009-11-12,130.53,129.98,132.15,129.98,0.48,115.92284500000005,100.20053799999992,91.84516900000003,82.93212949999997,bullish,0.0,0.0,49226.8
2009-11-13,132.97,131.16,132.99,129.75,1.87,117.80534500000003,101.29073799999993,92.38216900000002,83.30287949999997,bullish,0.0,0.0,49226.8
2009-11-16,131.59,132.12,134.56,130.98,-1.04,119.65084500000005,102.34513799999993,92.876069,83.65507949999997,bullish,0.0,0.0,49226.8
2009-11-17,131.25,131.4,131.85,129.32,-0.26,121.46434500000005,103.35213799999994,93.34976900000001,83.99337949999997,bullish,0.0,0.0,49226.8
2009-11-18,131.29,130.9,131.41,129.53,0.03,123.35784500000004,104.33313799999995,93.83236900000001,84.34452949999996,bullish,0.0,0.0,49226.8
2009-11-19,128.99,130.54,130.54,128.48,-1.75,125.13484500000004,105.23593799999993,94.28566900000001,84.67357949999997,bullish,0.0,0.0,49226.8
2009-11-20,129.66,127.76,129.99,127.41,0.52,125.69334500000005,106.13833799999993,94.76626900000001,84.98912949999998,bullish,0.0,0.0,49226.8
2009-11-23,133.0,131.05,133.0,131.0,2.58,126.11135000000004,107.12113799999993,95.30306900000001,85.32057949999998,bullish,0.0,0.0,49226.8
2009-11-24,132.94,133.57,134.33,132.22,-0.05,126.65485000000004,108.10893799999992,95.85146900000001,85.66872949999997,bullish,0.0,0.0,49226.8
